#X,C1_BASE1->TM_Torque(abs)
#Time(sec),Torque(N-m)_Real
2.930730E-01,0.137746
2.933940E-01,0.137748
2.937150E-01,0.137751
2.940360E-01,0.137754
2.943570E-01,0.139257
2.946780E-01,0.137760
2.949990E-01,0.137070
2.953200E-01,2.160914
2.956410E-01,0.139268
2.959620E-01,0.137772
2.962830E-01,0.137775
2.966040E-01,0.137778
2.969250E-01,0.137781
2.972460E-01,0.137784
2.975670E-01,0.139285
2.978880E-01,0.137790
2.982090E-01,0.137793
2.985300E-01,0.139293
2.988510E-01,0.137106
2.991720E-01,2.159668
2.994930E-01,0.139301
2.998140E-01,0.137807
3.001350E-01,0.137810
3.004560E-01,0.137813
3.007770E-01,0.137816
3.010980E-01,0.137819
3.014190E-01,0.137822
3.017400E-01,0.137825
3.020610E-01,0.137828
3.023820E-01,0.139327
3.027030E-01,0.139330
3.030240E-01,0.139333
3.033450E-01,0.139335
3.036660E-01,0.137843
3.039870E-01,0.137846
3.043080E-01,0.137849
3.046290E-01,0.137852
3.049500E-01,0.137855
3.052710E-01,0.137858
3.055920E-01,0.137861
3.059130E-01,0.137864
3.062340E-01,0.139361
3.065550E-01,0.139364
3.068760E-01,0.139367
3.071970E-01,0.137876
3.075180E-01,0.139372
3.078390E-01,0.139375
3.081600E-01,0.137885
3.084810E-01,0.137888
3.088020E-01,0.139384
3.091230E-01,0.139387
3.094440E-01,0.137206
3.097650E-01,2.156180
3.100860E-01,0.137904
3.104070E-01,0.137907
3.107280E-01,0.137218
3.110490E-01,2.155748
3.113700E-01,0.137916
3.116910E-01,0.137919
3.120120E-01,0.137922
3.123330E-01,0.139416
3.126540E-01,0.139419
3.129750E-01,0.137931
3.132960E-01,0.137934
3.136170E-01,0.137937
3.139380E-01,0.137940
3.142590E-01,0.137943
3.145800E-01,0.139436
3.149010E-01,0.137950
3.152220E-01,0.137953
3.155430E-01,0.139445
3.158640E-01,0.137959
3.161850E-01,0.137962
3.165060E-01,0.139454
3.168270E-01,0.137968
3.171480E-01,0.137971
3.174690E-01,0.139463
3.177900E-01,0.137978
3.181110E-01,0.137981
3.184320E-01,0.137984
3.187530E-01,0.137987
3.190740E-01,0.139477
3.193950E-01,0.137993
3.197160E-01,0.137996
3.200370E-01,0.137999
3.203580E-01,0.138002
3.206790E-01,0.138006
3.210000E-01,0.138009
3.213210E-01,0.139498
3.216420E-01,0.138015
3.219630E-01,0.139504
3.222840E-01,0.138021
3.226050E-01,0.138025
3.229260E-01,0.138028
3.232470E-01,0.138031
3.235680E-01,0.139519
3.238890E-01,0.138037
3.242100E-01,0.138841
3.245310E-01,2.151127
3.248520E-01,0.139531
3.251730E-01,0.138050
3.254940E-01,0.138053
3.258150E-01,0.139540
3.261360E-01,0.139543
3.264570E-01,0.139546
3.267780E-01,0.139549
3.270990E-01,0.139552
3.274200E-01,0.137381
3.277410E-01,2.150005
3.280620E-01,0.139561
3.283830E-01,0.138082
3.287040E-01,0.138085
3.290250E-01,0.138088
3.293460E-01,0.138091
3.296670E-01,0.138893
3.299880E-01,2.149207
3.303090E-01,0.138101
3.306300E-01,0.138104
3.309510E-01,0.138107
3.312720E-01,0.138111
3.315930E-01,0.138114
3.319140E-01,0.138117
3.322350E-01,0.139601
3.325560E-01,0.138123
3.328770E-01,0.138127
3.331980E-01,0.138130
3.335190E-01,0.138133
3.338400E-01,0.138137
3.341610E-01,0.138140
3.344820E-01,0.138143
3.348030E-01,0.139626
3.351240E-01,0.138150
3.354450E-01,0.138153
3.357660E-01,0.139635
3.360870E-01,0.138159
3.364080E-01,0.138162
3.367290E-01,0.138166
3.370500E-01,0.138169
3.373710E-01,0.139650
3.376920E-01,0.138175
3.380130E-01,0.138179
3.383340E-01,0.138182
3.386550E-01,0.138185
3.389760E-01,0.138189
3.392970E-01,0.138192
3.396180E-01,0.139672
3.399390E-01,0.137508
3.402600E-01,2.145517
3.405810E-01,0.138205
3.409020E-01,0.138208
3.412230E-01,0.139688
